"Clip.ID"	"Tags"
"ACP000e381"	"human:1;researcher:1;agedviolet:1"
"ACP000e382"	""
"ACP000e383"	""
"ACP000e384"	""
"ACP000e38p"	"small-grey_duiker:1"
"ACP000e38q"	""
"ACP000e38r"	""
"ACP000e38s"	""
"ACP000e391"	""
"ACP000e392"	""
"ACP000e393"	""
"ACP000e394"	""
"ACP000e39n"	""
"ACP000e39p"	"agedviolet:1;small-grey_duiker:1"
"ACP000e39r"	""
"ACP000e39s"	""
"ACP000e3bx"	""
"ACP000e3by"	""
"ACP000e3bz"	""
"ACP000e3c0"	""
"ACP000e3cc"	""
"ACP000e3ce"	""
"ACP000e3cf"	""
"ACP000e3cg"	""
"ACP000e3cp"	"agedviolet:1;duiker:1"
"ACP000e3cq"	""
"ACP000e3cr"	""
"ACP000e3cs"	""
"ACP000e3ct"	"agedviolet:1;small_grey_duiker:1"
"ACP000e3cu"	"agedviolet:2;small_grey_duiker:1;small-grey_duiker:1"
"ACP000e3cv"	""
"ACP000e3cw"	""
"ACP000e3d4"	"agedviolet:1;brookes_duiker:1"
"ACP000e3d7"	""
"ACP000e3da"	""
"ACP000e3dc"	""
"ACP000e3h7"	""
"ACP000e3h8"	""
"ACP000e3h9"	""
"ACP000e3ha"	""
"ACP000e3hf"	""
"ACP000e3hg"	""
"ACP000e3hh"	""
"ACP000e3hi"	""
"ACP000e3ib"	""
"ACP000e3ic"	""
"ACP000e3id"	""
"ACP000e3ie"	""
"ACP000e3ij"	""
"ACP000e3il"	""
"ACP000e3in"	""
"ACP000e3ip"	""
"ACP000e3iz"	""
"ACP000e3j2"	""
"ACP000e3j5"	""
"ACP000e3j8"	""
"ACP000e3jb"	""
"ACP000e3jc"	""
"ACP000e3jd"	""
"ACP000e3je"	""
"ACP000e3kj"	""
"ACP000e3kk"	""
"ACP000e3kl"	""
"ACP000e3km"	""
"ACP000e3l7"	""
"ACP000e3l8"	""
"ACP000e3l9"	""
"ACP000e3la"	""
"ACP000e3nv"	""
"ACP000e3nw"	""
"ACP000e3nx"	""
"ACP000e3ny"	""
"ACP000e3nz"	""
"ACP000e3o0"	""
"ACP000e3o1"	""
"ACP000e3o3"	""
"ACP000e3oj"	""
"ACP000e3ok"	""
"ACP000e3ol"	""
"ACP000e3om"	""
"ACP000e3pz"	"small_grey_duiker:1;agedviolet:1"
"ACP000e3q0"	""
"ACP000e3q1"	""
"ACP000e3q2"	""
"ACP000e3rn"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e3ro"	"agedviolet:1;mangabey:1;sooty:1"
"ACP000e3rq"	""
"ACP000e3rs"	""
"ACP000e3s4"	"agedviolet:1;bay_duiker:1"
"ACP000e3s7"	""
"ACP000e3s9"	""
"ACP000e3sa"	""
"ACP000e3t7"	""
"ACP000e3t8"	""
"ACP000e3t9"	"small_grey_duiker:1;agedviolet:1"
"ACP000e3ta"	"agedviolet:1;small_grey_duiker:1"
"ACP000e3tf"	"agedviolet:1;red_river_hog:1"
"ACP000e3tg"	""
"ACP000e3ti"	"agedviolet:1;red_river_hog:1"
"ACP000e3tk"	"agedviolet:1;red_river_hog:1"
"ACP000e3u3"	""
"ACP000e3u4"	""
"ACP000e3u5"	""
"ACP000e3u6"	""
"ACP000e3ur"	"agedviolet:1;red_river_hog:1"
"ACP000e3us"	"agedviolet:1;red_river_hog:1"
"ACP000e3ut"	"agedviolet:1;camera_reaction:1;red_river_hog:1"
"ACP000e3uu"	"selfie:1;agedviolet:1;red_river_hog:1"
"ACP000e3v3"	"slender-tailed_squirrel:1;agedviolet:1;squirrel:1"
"ACP000e3v4"	""
"ACP000e3v5"	""
"ACP000e3v6"	""
"ACP000e3vr"	""
"ACP000e3vs"	""
"ACP000e3vt"	""
"ACP000e3vu"	""
"ACP000e3w7"	"agedviolet:2;brookes_duiker:2"
"ACP000e3w8"	""
"ACP000e3w9"	""
"ACP000e3wa"	""
"ACP000e3wr"	"agedviolet:1;brookes_duiker:1"
"ACP000e3ws"	""
"ACP000e3wt"	""
"ACP000e3wu"	""
"ACP000e3x3"	""
"ACP000e3x4"	""
"ACP000e3x5"	""
"ACP000e3x6"	""
"ACP000e3xo"	"agedviolet:1;red_river_hog:1"
"ACP000e3xs"	"agedviolet:1;red_river_hog:1"
"ACP000e3xv"	""
"ACP000e3xy"	""
"ACP000e3yb"	"agedviolet:1;red_river_hog:1"
"ACP000e3yc"	"agedviolet:1;red_river_hog:1"
"ACP000e3yd"	""
"ACP000e3ye"	"red_river_hog:1"
"ACP000e3yv"	"agedviolet:1;white_breasted_guineafowl:1"
"ACP000e3yw"	"agedviolet:1;white_breasted_guineafowl:1"
"ACP000e3yx"	""
"ACP000e3yy"	""
"ACP000e3zr"	""
"ACP000e3zs"	""
"ACP000e3zt"	""
"ACP000e3zu"	""
"ACP000e3zv"	""
"ACP000e3zx"	""
"ACP000e3zz"	""
"ACP000e401"	""
"ACP000e40r"	"ussuri:1;1_chimp:1;agedviolet:1;chimp:1"
"ACP000e40s"	"tool_use:1;agedviolet:1;0_chimp:1;chimp:1;off_camera:1"
"ACP000e40u"	""
"ACP000e40w"	""
"ACP000e413"	"agedviolet:1;red_river_hog:1"
"ACP000e414"	"agedviolet:2;red_river_hog:2"
"ACP000e415"	"agedviolet:1;red_river_hog:1"
"ACP000e416"	""
"ACP000e427"	"needcid:2;juv:1;agedviolet:1;1_chimp:1;chimp:1"
"ACP000e428"	"agedviolet:2;1_chimp:2;needcid:2;juv:1;juvenile:1;chimp:1"
"ACP000e429"	"needcid:2;2_chimp:2;juv:1;agedviolet:1;juvenile:1;camera_reaction:1;female:1;fem:1;chimp:1"
"ACP000e42a"	"needcid:2;1_chimp:2;agedviolet:1;camtouch:1;camera_reaction:1;2_chimp:1;female:1;fem:1;chimp:1"
"ACP000e42f"	""
"ACP000e42g"	""
"ACP000e42h"	""
"ACP000e42i"	""
"ACP000e42m"	""
"ACP000e42o"	""
"ACP000e42p"	""
"ACP000e42q"	""
"ACP000e433"	"agedviolet:1;white_breasted_guineafowl:1;bird:1"
"ACP000e434"	"agedviolet:2;white_breasted_guineafowl:1;bird:1"
"ACP000e435"	"agedviolet:1;white_breasted_guineafowl:1;bird:1"
"ACP000e436"	"agedviolet:1;white_breasted_guineafowl:1"
"ACP000e43n"	"chimp:2;vocalization:1;off_vocalization:1;scratch:1;avjuv02b:1;marlyn:1;1_chimp:1;agedviolet:1"
"ACP000e43o"	"2_chimp:2;chimp:2;avjuv02b:2;marlyn:1;needcid:1;agedviolet:1;juvenile:1"
"ACP000e43p"	"1_chimp:1;avmale02:1;male:1;agedviolet:1;chimp:1"
"ACP000e43q"	"adult:2;1_chimp:2;avmale02:1;aged-violet:1;male:1;agedviolet:1;chimp:1"
"ACP000e44o"	"2_chimp:2;agedviolet:2;etta:1;daisy:1;juvenile:1;female:1;chimp:1"
"ACP000e44s"	""
"ACP000e44v"	""
"ACP000e44y"	""
"ACP000e45l"	"agedviolet:1;small_grey_duiker:1"
"ACP000e45n"	""
"ACP000e45q"	""
"ACP000e45r"	""
"ACP000e47b"	""
