"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_22_loc70_20140721_PICT0139"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc70_20141220_PICT0007"	"rodent"	"rodent"	0.75	0.75	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0017"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0020"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0024"	"other (primate)"	"other (primate)"	0.875	0.875	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0045"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0049"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0074"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0082"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0092"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0112"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0115"	"hoofed.animal"	"hoofed.animal"	0.9	0.9	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0116"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0123"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc70_20141220_PICT0129"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0149"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0160"	"hoofed.animal"	"hoofed.animal"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0161"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0168"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0171"	"rodent"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc70_20141220_PICT0173"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0177"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0184"	"hoofed.animal"	"hoofed.animal"	0.923076923076923	0.923076923076923	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0193"	"hoofed.animal"	"hoofed.animal"	0.9	0.9	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0209"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0212"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0221"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc70_20141220_PICT0225"	"hoofed.animal"	"hoofed.animal"	0.875	0.875	"Consensus reached"
"TaiEast_22_loc70_20141220_PICT0226"	"hoofed.animal"	"hoofed.animal"	0.9	0.9	"Consensus reached"
