"Video.ID"	"Vernacular.Name"	"Species"	"Umbrella.Duiker.Species"	"Umbrella.Species"	"Number.Individuals"
"TaiEast_19_loc37_20140926_EK000137"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	4
"TaiEast_19_loc37_20140926_EK000137"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000138"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	6
"TaiEast_19_loc37_20140926_EK000139"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	6
"TaiEast_19_loc37_20140926_EK000140"	"Sooty_mangabey"	"other (primate)"	"other (primate)"	"other (primate)"	6
"TaiEast_19_loc37_20140926_EK000140"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000142"	"Leopard"	"leopard"	"leopard"	"leopard"	1
"TaiEast_19_loc37_20140926_EK000143"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000144"	"Human"	"human"	"human"	"human"	1
"TaiEast_19_loc37_20140926_EK000146"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000147"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000148"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000150"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000151"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000152"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000153"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000156"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000158"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000159"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000160"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000162"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000163"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000164"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000165"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_19_loc37_20140926_EK000166"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000167"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000168"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000170"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000172"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000173"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000174"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000178"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000180"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000182"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000183"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000184"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000185"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000186"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000187"	"Duiker_sp"	"duiker.sp"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000188"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000191"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000194"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000195"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000196"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000197"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000199"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000201"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000202"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000203"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000204"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000205"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000206"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000208"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_19_loc37_20140926_EK000209"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000211"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000212"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000213"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000214"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000215"	"blank"	"blank"	"blank"	"blank"	NA
"TaiEast_19_loc37_20140926_EK000216"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000218"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000219"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000220"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	2
"TaiEast_19_loc37_20140926_EK000221"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000223"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000225"	"Ogilbys_duiker"	"red duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000226"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000227"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	3
"TaiEast_19_loc37_20140926_EK000228"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
"TaiEast_19_loc37_20140926_EK000229"	"Maxwells_duiker"	"small grey duiker"	"duiker"	"hoofed.animal"	1
