"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_53_loc21_20140722_EK000106"	"small grey duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_53_loc21_20140722_EK000109"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000110"	"red duiker"	"red duiker"	0.5	0.5	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000112"	"small grey duiker"	"small grey duiker"	0.5	0.5	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000113"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000114"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000115"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000116"	"zebra duiker"	"zebra duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000117"	"rodent"	"other (non-primate)"	0.5	0.25	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000119"	"other (primate)"	"other (primate)"	0.857142857142857	0.857142857142857	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000121"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000122"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000123"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000124"	"red duiker"	"red duiker"	0.833333333333333	0.833333333333333	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000125"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000126"	"small grey duiker"	"small grey duiker"	0.5	0.5	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000127"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000129"	"small grey duiker"	"small grey duiker"	0.7	0.7	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000131"	"small grey duiker"	"small grey duiker"	0.571428571428571	0.571428571428571	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000132"	"bird"	"bird"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000133"	"small grey duiker"	"small grey duiker"	0.7	0.7	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000135"	"chimpanzee"	"chimpanzee"	1	1	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000139"	"small grey duiker"	"small grey duiker"	0.857142857142857	0.857142857142857	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000140"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000141"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000142"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000143"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000144"	"blank"	"red duiker"	0.75	0	"Consensus reached"
"TaiEast_53_loc21_20140722_EK000146"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000147"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_53_loc21_20140722_EK000148"	"red duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc101_20141006_EK000040"	"red duiker"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_54_loc101_20141006_EK000042"	"leopard"	"leopard"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141006_EK000043"	"leopard"	"leopard"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141006_EK000045"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141006_EK000048"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000007"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000008"	"leopard"	"leopard"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000009"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000011"	"leopard"	"leopard"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000012"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000013"	"red duiker"	"red duiker"	0.75	0.75	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000014"	"leopard"	"leopard"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000015"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_54_loc101_20141104_EK000017"	"small grey duiker"	"small grey duiker"	0.666666666666667	0.666666666666667	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000018"	"hippopotamus"	"hippopotamus"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000019"	"chimpanzee"	"chimpanzee"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141104_EK000020"	"human"	"human"	1	1	"Consensus reached"
"TaiEast_54_loc101_20141218_EK000006"	"human"	"human"	1	1	"Consensus reached"
