"Clip.ID"	"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Number.Blanks"	"Number.Nonblanks"
"ACP000ga6d"	"TaiEast_52_loc31_20140721_PICT0053"	"duiker"	"blank"	1	0	3	0
"ACP000ga6e"	"TaiEast_52_loc31_20140721_PICT0048"	"duiker"	"duiker"	0.888888888888889	0.888888888888889	3	9
"ACP000ga6f"	"TaiEast_52_loc31_20140721_PICT0053"	"duiker"	"blank"	1	0	3	0
"ACP000ga6g"	"TaiEast_52_loc31_20140721_PICT0053"	"duiker"	"blank"	1	0	3	0
"ACP000ga6h"	"TaiEast_52_loc31_20140721_PICT0039"	"duiker"	"duiker"	0.714285714285714	0.714285714285714	8	7
"ACP000ga6j"	"TaiEast_52_loc31_20140721_PICT0039"	"duiker"	"duiker"	1	1	10	5
"ACP000ga6l"	"TaiEast_52_loc31_20140721_PICT0039"	"duiker"	"blank"	1	0	3	0
"ACP000ga6n"	"TaiEast_52_loc31_20140721_PICT0039"	"duiker"	"duiker"	0.875	0.875	7	8
"ACP000ga6p"	"TaiEast_52_loc31_20140721_PICT0010"	"duiker"	"duiker"	1	1	6	9
"ACP000ga6q"	"TaiEast_52_loc31_20140721_PICT0010"	"duiker"	"blank"	1	0	3	0
"ACP000ga6r"	"TaiEast_52_loc31_20140721_PICT0010"	"duiker"	"blank"	1	0	3	0
"ACP000ga6s"	"TaiEast_52_loc31_20140721_PICT0010"	"duiker"	"blank"	1	0	3	0
"ACP000ga6t"	"TaiEast_52_loc31_20140721_PICT0029"	"duiker"	"duiker"	0.714285714285714	0.714285714285714	7	7
"ACP000ga6u"	"TaiEast_52_loc31_20140721_PICT0029"	"duiker"	"duiker"	1	1	7	8
"ACP000ga6v"	"TaiEast_52_loc31_20140721_PICT0029"	"duiker"	"duiker"	0.833333333333333	0.833333333333333	9	6
"ACP000ga6w"	"TaiEast_52_loc31_20140721_PICT0029"	"duiker"	"duiker"	1	1	6	9
"ACP000ga6x"	"TaiEast_52_loc31_20140721_PICT0021"	"pangolin"	"pangolin"	0.875	0.875	4	8
"ACP000ga6y"	"TaiEast_52_loc31_20140721_PICT0021"	"pangolin"	"blank"	1	0	3	0
"ACP000ga6z"	"TaiEast_52_loc31_20140721_PICT0021"	"pangolin"	"blank"	1	0	3	0
"ACP000ga70"	"TaiEast_52_loc31_20140721_PICT0019"	"blank"	"blank"	1	1	3	0
"ACP000ga71"	"TaiEast_52_loc31_20140721_PICT0033"	"blank"	"blank"	1	1	3	0
"ACP000ga72"	"TaiEast_52_loc31_20140721_PICT0021"	"pangolin"	"blank"	1	0	3	0
"ACP000ga74"	"TaiEast_52_loc31_20140721_PICT0019"	"blank"	"blank"	1	1	3	0
"ACP000ga75"	"TaiEast_52_loc31_20140721_PICT0033"	"blank"	"blank"	1	1	3	0
"ACP000ga76"	"TaiEast_52_loc31_20140721_PICT0033"	"blank"	"blank"	1	1	3	0
"ACP000ga77"	"TaiEast_52_loc31_20140721_PICT0019"	"blank"	"blank"	1	1	3	0
"ACP000ga79"	"TaiEast_52_loc31_20140721_PICT0033"	"blank"	"blank"	1	1	3	0
"ACP000ga7a"	"TaiEast_52_loc31_20140721_PICT0019"	"blank"	"blank"	1	1	3	0
"ACP000ga7h"	"TaiEast_52_loc31_20140721_PICT0007"	"duiker"	"blank"	1	0	3	0
"ACP000ga7i"	"TaiEast_52_loc31_20140721_PICT0007"	"duiker"	"blank"	1	0	3	0
"ACP000ga7j"	"TaiEast_52_loc31_20140721_PICT0007"	"duiker"	"blank"	1	0	3	0
"ACP000ga7k"	"TaiEast_52_loc31_20140721_PICT0011"	"duiker"	"duiker"	0.888888888888889	0.888888888888889	6	9
"ACP000ga7l"	"TaiEast_52_loc31_20140721_PICT0007"	"duiker"	"duiker"	1	1	9	6
"ACP000ga7m"	"TaiEast_52_loc31_20140721_PICT0011"	"duiker"	"blank"	1	0	3	0
"ACP000ga7n"	"TaiEast_52_loc31_20140721_PICT0011"	"duiker"	"blank"	1	0	3	0
"ACP000ga7o"	"TaiEast_52_loc31_20140721_PICT0011"	"duiker"	"blank"	1	0	3	0
"ACP000ga7t"	"TaiEast_52_loc31_20140721_PICT0054"	"duiker"	"presence undetermined"	NA	NA	12	3
"ACP000ga7u"	"TaiEast_52_loc31_20140721_PICT0054"	"duiker"	"blank"	1	0	3	0
"ACP000ga7v"	"TaiEast_52_loc31_20140721_PICT0054"	"duiker"	"blank"	1	0	3	0
"ACP000ga7w"	"TaiEast_52_loc31_20140721_PICT0054"	"duiker"	"blank"	1	0	3	0
"ACP000ga85"	"TaiEast_52_loc31_20140721_PICT0055"	"duiker"	"duiker"	0.818181818181818	0.818181818181818	2	11
"ACP000ga86"	"TaiEast_52_loc31_20140721_PICT0055"	"duiker"	"blank"	1	0	3	0
"ACP000ga87"	"TaiEast_52_loc31_20140721_PICT0055"	"duiker"	"blank"	1	0	3	0
"ACP000ga88"	"TaiEast_52_loc31_20140721_PICT0055"	"duiker"	"blank"	1	0	3	0
"ACP000ga89"	"TaiEast_52_loc31_20140721_PICT0015"	"duiker"	"duiker"	0.8	0.8	0	10
"ACP000ga8a"	"TaiEast_52_loc31_20140721_PICT0015"	"duiker"	"duiker"	1	1	0	7
"ACP000ga8b"	"TaiEast_52_loc31_20140721_PICT0015"	"duiker"	"duiker"	1	1	0	8
"ACP000ga8c"	"TaiEast_52_loc31_20140721_PICT0015"	"duiker"	"duiker"	1	1	2	8
"ACP000ga8l"	"TaiEast_52_loc31_20140721_PICT0031"	"blank"	"presence undetermined"	NA	NA	14	1
"ACP000ga8m"	"TaiEast_52_loc31_20140721_PICT0031"	"blank"	"blank"	1	1	3	0
"ACP000ga8n"	"TaiEast_52_loc31_20140721_PICT0031"	"blank"	"blank"	1	1	3	0
"ACP000ga8o"	"TaiEast_52_loc31_20140721_PICT0031"	"blank"	"blank"	1	1	3	0
"ACP000ga8p"	"TaiEast_52_loc31_20141016_PICT0120"	"duiker"	"duiker"	0.857142857142857	0.857142857142857	8	7
"ACP000ga8q"	"TaiEast_52_loc31_20141016_PICT0120"	"duiker"	"blank"	1	0	3	0
"ACP000ga8r"	"TaiEast_52_loc31_20141016_PICT0120"	"duiker"	"blank"	1	0	3	0
"ACP000ga8s"	"TaiEast_52_loc31_20141016_PICT0120"	"duiker"	"blank"	1	0	3	0
"ACP000ga8t"	"TaiEast_52_loc31_20141016_PICT0077"	"duiker"	"blank"	1	0	3	0
"ACP000ga8u"	"TaiEast_52_loc31_20141016_PICT0077"	"duiker"	"duiker"	0.5	0.5	12	4
"ACP000ga8v"	"TaiEast_52_loc31_20141016_PICT0077"	"duiker"	"duiker"	0.666666666666667	0.666666666666667	9	6
"ACP000ga8w"	"TaiEast_52_loc31_20141016_PICT0077"	"duiker"	"duiker"	1	1	7	8
"ACP000ga91"	"TaiEast_52_loc31_20141016_PICT0119"	"duiker"	"duiker"	0.888888888888889	0.888888888888889	2	9
"ACP000ga92"	"TaiEast_52_loc31_20141016_PICT0119"	"duiker"	"blank"	1	0	3	0
"ACP000ga93"	"TaiEast_52_loc31_20141016_PICT0119"	"duiker"	"blank"	1	0	3	0
"ACP000ga94"	"TaiEast_52_loc31_20141016_PICT0119"	"duiker"	"blank"	1	0	3	0
"ACP000ga99"	"TaiEast_52_loc31_20141016_PICT0066"	"blank"	"blank"	1	1	3	0
"ACP000ga9a"	"TaiEast_52_loc31_20141016_PICT0066"	"blank"	"blank"	1	1	3	0
"ACP000ga9b"	"TaiEast_52_loc31_20141016_PICT0024"	"duiker"	"duiker"	0.727272727272727	0.727272727272727	4	11
"ACP000ga9c"	"TaiEast_52_loc31_20141016_PICT0066"	"blank"	"blank"	1	1	3	0
"ACP000ga9d"	"TaiEast_52_loc31_20141016_PICT0024"	"duiker"	"blank"	1	0	3	0
"ACP000ga9e"	"TaiEast_52_loc31_20141016_PICT0066"	"blank"	"blank"	1	1	3	0
"ACP000ga9f"	"TaiEast_52_loc31_20141016_PICT0024"	"duiker"	"blank"	1	0	3	0
"ACP000ga9g"	"TaiEast_52_loc31_20141016_PICT0024"	"duiker"	"blank"	1	0	3	0
"ACP000ga9h"	"TaiEast_52_loc31_20141016_PICT0083"	"duiker"	"blank"	1	0	3	0
"ACP000ga9i"	"TaiEast_52_loc31_20141016_PICT0083"	"duiker"	"duiker"	0.888888888888889	0.888888888888889	5	9
"ACP000ga9j"	"TaiEast_52_loc31_20141016_PICT0083"	"duiker"	"duiker"	0.6	0.6	5	10
"ACP000ga9k"	"TaiEast_52_loc31_20141016_PICT0083"	"duiker"	"duiker"	1	1	6	5
"ACP000ga9l"	"TaiEast_52_loc31_20141016_PICT0145"	"duiker"	"duiker"	1	1	3	6
"ACP000ga9m"	"TaiEast_52_loc31_20141016_PICT0145"	"duiker"	"blank"	1	0	3	0
"ACP000ga9n"	"TaiEast_52_loc31_20141016_PICT0145"	"duiker"	"blank"	1	0	3	0
"ACP000ga9o"	"TaiEast_52_loc31_20141016_PICT0145"	"duiker"	"blank"	1	0	3	0
"ACP000gaa1"	"TaiEast_52_loc31_20141016_PICT0065"	"blank"	"blank"	1	1	3	0
"ACP000gaa2"	"TaiEast_52_loc31_20141016_PICT0065"	"blank"	"blank"	1	1	3	0
"ACP000gaa3"	"TaiEast_52_loc31_20141016_PICT0065"	"blank"	"blank"	1	1	3	0
"ACP000gaa4"	"TaiEast_52_loc31_20141016_PICT0065"	"blank"	"blank"	1	1	3	0
"ACP000gaa5"	"TaiEast_52_loc31_20141016_PICT0075"	"duiker"	"duiker"	0.857142857142857	0.857142857142857	5	7
"ACP000gaa6"	"TaiEast_52_loc31_20141016_PICT0050"	"duiker"	"duiker"	0.8	0.8	5	10
"ACP000gaa7"	"TaiEast_52_loc31_20141016_PICT0073"	"duiker"	"duiker"	0.888888888888889	0.888888888888889	5	9
"ACP000gaa8"	"TaiEast_52_loc31_20141016_PICT0075"	"duiker"	"blank"	1	0	3	0
"ACP000gaa9"	"TaiEast_52_loc31_20141016_PICT0050"	"duiker"	"duiker"	0.875	0.875	7	8
"ACP000gaaa"	"TaiEast_52_loc31_20141016_PICT0073"	"duiker"	"blank"	1	0	3	0
"ACP000gaab"	"TaiEast_52_loc31_20141016_PICT0075"	"duiker"	"blank"	1	0	3	0
"ACP000gaac"	"TaiEast_52_loc31_20141016_PICT0050"	"duiker"	"blank"	1	0	3	0
"ACP000gaad"	"TaiEast_52_loc31_20141016_PICT0073"	"duiker"	"duiker"	0.909090909090909	0.909090909090909	4	11
"ACP000gaae"	"TaiEast_52_loc31_20141016_PICT0075"	"duiker"	"blank"	1	0	3	0
"ACP000gaaf"	"TaiEast_52_loc31_20141016_PICT0050"	"duiker"	"blank"	1	0	3	0
"ACP000gaag"	"TaiEast_52_loc31_20141016_PICT0073"	"duiker"	"blank"	1	0	3	0
"ACP000gaap"	"TaiEast_52_loc31_20141016_PICT0098"	"duiker"	"duiker"	0.857142857142857	0.857142857142857	8	7
"ACP000gaaq"	"TaiEast_52_loc31_20141016_PICT0098"	"duiker"	"blank"	1	0	3	0
"ACP000gaar"	"TaiEast_52_loc31_20141016_PICT0078"	"blank"	"blank"	1	1	3	0
"ACP000gaas"	"TaiEast_52_loc31_20141016_PICT0098"	"duiker"	"blank"	1	0	3	0
"ACP000gaat"	"TaiEast_52_loc31_20141016_PICT0078"	"blank"	"blank"	1	1	3	0
"ACP000gaau"	"TaiEast_52_loc31_20141016_PICT0098"	"duiker"	"blank"	1	0	3	0
"ACP000gaav"	"TaiEast_52_loc31_20141016_PICT0078"	"blank"	"blank"	1	1	3	0
"ACP000gaaw"	"TaiEast_52_loc31_20141016_PICT0078"	"blank"	"blank"	1	1	3	0
"ACP000gaax"	"TaiEast_52_loc31_20141016_PICT0044"	"duiker"	"duiker"	1	1	10	5
"ACP000gaay"	"TaiEast_52_loc31_20141016_PICT0044"	"duiker"	"blank"	1	0	3	0
"ACP000gaaz"	"TaiEast_52_loc31_20141016_PICT0044"	"duiker"	"blank"	1	0	3	0
"ACP000gab0"	"TaiEast_52_loc31_20141016_PICT0044"	"duiker"	"blank"	1	0	3	0
"ACP000gab1"	"TaiEast_52_loc31_20141016_PICT0093"	"duiker"	"duiker"	1	1	4	9
"ACP000gab2"	"TaiEast_52_loc31_20141016_PICT0020"	"other (primate)"	"other (primate)"	1	1	4	7
"ACP000gab3"	"TaiEast_52_loc31_20141016_PICT0093"	"duiker"	"blank"	1	0	3	0
"ACP000gab4"	"TaiEast_52_loc31_20141016_PICT0020"	"other (primate)"	"other (primate)"	0.666666666666667	0.666666666666667	6	9
"ACP000gab5"	"TaiEast_52_loc31_20141016_PICT0093"	"duiker"	"blank"	1	0	3	0
"ACP000gab6"	"TaiEast_52_loc31_20141016_PICT0020"	"other (primate)"	"other (primate)"	0.875	0.875	5	8
"ACP000gab7"	"TaiEast_52_loc31_20141016_PICT0093"	"duiker"	"blank"	1	0	3	0
"ACP000gab8"	"TaiEast_52_loc31_20141016_PICT0020"	"other (primate)"	"other (primate)"	1	1	4	7
"ACP000gab9"	"TaiEast_52_loc31_20141016_PICT0051"	"duiker"	"blank"	1	0	3	0
"ACP000gaba"	"TaiEast_52_loc31_20141016_PICT0051"	"duiker"	"duiker"	0.888888888888889	0.888888888888889	3	9
"ACP000gabb"	"TaiEast_52_loc31_20141016_PICT0051"	"duiker"	"blank"	1	0	3	0
"ACP000gabc"	"TaiEast_52_loc31_20141016_PICT0051"	"duiker"	"blank"	1	0	3	0
"ACP000gabl"	"TaiEast_52_loc31_20141016_PICT0023"	"blank"	"blank"	1	1	3	0
"ACP000gabn"	"TaiEast_52_loc31_20141016_PICT0023"	"blank"	"blank"	1	1	3	0
"ACP000gabp"	"TaiEast_52_loc31_20141016_PICT0023"	"blank"	"blank"	1	1	3	0
"ACP000gabr"	"TaiEast_52_loc31_20141016_PICT0023"	"blank"	"blank"	1	1	3	0
"ACP000gabt"	"TaiEast_52_loc31_20141016_PICT0123"	"duiker"	"duiker"	0.875	0.875	5	8
"ACP000gabu"	"TaiEast_52_loc31_20141016_PICT0123"	"duiker"	"blank"	1	0	3	0
"ACP000gabv"	"TaiEast_52_loc31_20141016_PICT0123"	"duiker"	"blank"	1	0	3	0
"ACP000gabw"	"TaiEast_52_loc31_20141016_PICT0123"	"duiker"	"blank"	1	0	3	0
"ACP000gabx"	"TaiEast_52_loc31_20141016_PICT0096"	"duiker"	"duiker"	0.909090909090909	0.909090909090909	3	11
"ACP000gaby"	"TaiEast_52_loc31_20141016_PICT0096"	"duiker"	"duiker"	0.875	0.875	3	8
"ACP000gabz"	"TaiEast_52_loc31_20141016_PICT0096"	"duiker"	"duiker"	0.777777777777778	0.777777777777778	6	9
"ACP000gac1"	"TaiEast_52_loc31_20141016_PICT0096"	"duiker"	"blank"	1	0	3	0
"ACP000gac2"	"TaiEast_52_loc31_20141016_PICT0047"	"duiker"	"duiker"	1	1	2	9
"ACP000gac4"	"TaiEast_52_loc31_20141016_PICT0047"	"duiker"	"blank"	1	0	3	0
"ACP000gac6"	"TaiEast_52_loc31_20141016_PICT0047"	"duiker"	"blank"	1	0	3	0
"ACP000gac8"	"TaiEast_52_loc31_20141016_PICT0047"	"duiker"	"blank"	1	0	3	0
"ACP000gacd"	"TaiEast_52_loc31_20141016_PICT0013"	"duiker"	"duiker"	0.8	0.8	4	10
"ACP000gace"	"TaiEast_52_loc31_20141016_PICT0013"	"duiker"	"blank"	1	0	3	0
"ACP000gacf"	"TaiEast_52_loc31_20141016_PICT0013"	"duiker"	"duiker"	1	1	5	6
"ACP000gach"	"TaiEast_52_loc31_20141016_PICT0013"	"duiker"	"blank"	1	0	3	0
"ACP000gacl"	"TaiEast_52_loc31_20141016_PICT0079"	"blank"	"blank"	1	1	3	0
"ACP000gacm"	"TaiEast_52_loc31_20141016_PICT0079"	"blank"	"blank"	1	1	3	0
"ACP000gacn"	"TaiEast_52_loc31_20141016_PICT0079"	"blank"	"blank"	1	1	3	0
"ACP000gaco"	"TaiEast_52_loc31_20141016_PICT0079"	"blank"	"blank"	1	1	3	0
"ACP000gacz"	"TaiEast_52_loc31_20141016_PICT0081"	"blank"	"blank"	1	1	3	0
"ACP000gad1"	"TaiEast_52_loc31_20141016_PICT0081"	"blank"	"blank"	1	1	3	0
"ACP000gad3"	"TaiEast_52_loc31_20141016_PICT0081"	"blank"	"blank"	1	1	3	0
